team,ishome,week,pts,ptsallowed
NE,1,1,28,21
PIT,0,1,21,28
CHI,1,1,23,31
GB,0,1,31,23
STL,1,1,34,31
SEA,0,1,31,34
JAC,1,1,9,20
CAR,0,1,20,9
WAS,1,1,10,17
MIA,0,1,17,10
BUF,1,1,27,14
IND,0,1,14,27
NYJ,1,1,31,10
CLE,0,1,10,31
HOU,1,1,20,27
KC,0,1,27,20
ARI,1,1,31,19
NO,0,1,19,31
SD,1,1,33,28
DET,0,1,28,33
DEN,1,1,19,13
BAL,0,1,13,19
OAK,1,1,13,33
CIN,0,1,33,13
TB,1,1,14,42
TEN,0,1,42,14
DAL,1,1,27,26
NYG,0,1,26,27
ATL,1,1,26,24
PHI,0,1,24,26
SF,1,1,20,3
MIN,0,1,3,20
KC,1,2,24,31
DEN,0,2,31,24
CAR,1,2,24,17
HOU,0,2,17,24
BUF,1,2,32,40
NE,0,2,40,32
CIN,1,2,24,19
SD,0,2,19,24
CLE,1,2,28,14
TEN,0,2,14,28
NYG,1,2,20,24
ATL,0,2,24,20
WAS,1,2,24,10
STL,0,2,10,24
CHI,1,2,23,48
ARI,0,2,48,23
MIN,1,2,26,16
DET,0,2,16,26
NO,1,2,19,26
TB,0,2,26,19
PIT,1,2,43,18
SF,0,2,18,43
OAK,1,2,37,33
BAL,0,2,33,37
JAC,1,2,23,20
MIA,0,2,20,23
PHI,1,2,10,20
DAL,0,2,20,10
GB,1,2,27,17
SEA,0,2,17,27
IND,1,2,7,20
NYJ,0,2,20,7
NYG,1,3,32,21
WAS,0,3,21,32
DAL,1,3,28,39
ATL,0,3,39,28
CAR,1,3,27,22
NO,0,3,22,27
NYJ,1,3,17,24
PHI,0,3,24,17
HOU,1,3,19,9
TB,0,3,9,19
MIN,1,3,31,14
SD,0,3,14,31
STL,1,3,6,12
PIT,0,3,12,6
NE,1,3,51,17
JAC,0,3,17,51
BAL,1,3,24,28
CIN,0,3,28,24
CLE,1,3,20,27
OAK,0,3,27,20
TEN,1,3,33,35
IND,0,3,35,33
ARI,1,3,47,7
SF,0,3,7,47
SEA,1,3,26,0
CHI,0,3,0,26
MIA,1,3,14,41
BUF,0,3,41,14
DET,1,3,12,24
DEN,0,3,24,12
GB,1,3,38,28
KC,0,3,28,38
PIT,1,4,20,23
BAL,0,4,23,20
MIA,1,4,14,27
NYJ,0,4,27,14
CHI,1,4,22,20
OAK,0,4,20,22
ATL,1,4,48,21
HOU,0,4,21,48
CIN,1,4,36,21
KC,0,4,21,36
IND,1,4,16,13
JAC,0,4,13,16
WAS,1,4,23,20
PHI,0,4,20,23
TB,1,4,23,37
CAR,0,4,37,23
BUF,1,4,10,24
NYG,0,4,24,10
SD,1,4,30,27
CLE,0,4,27,30
SF,1,4,3,17
GB,0,4,17,3
ARI,1,4,22,24
STL,0,4,24,22
DEN,1,4,23,20
MIN,0,4,20,23
NO,1,4,26,20
DAL,0,4,20,26
SEA,1,4,13,10
DET,0,4,10,13
HOU,1,5,20,27
IND,0,5,27,20
PHI,1,5,39,17
NO,0,5,17,39
KC,1,5,17,18
CHI,0,5,18,17
CIN,1,5,27,24
SEA,0,5,24,27
ATL,1,5,25,19
WAS,0,5,19,25
TB,1,5,38,31
JAC,0,5,31,38
BAL,1,5,30,33
CLE,0,5,33,30
TEN,1,5,13,14
BUF,0,5,14,13
GB,1,5,24,10
STL,0,5,10,24
DET,1,5,17,42
ARI,0,5,42,17
DAL,1,5,6,30
NE,0,5,30,6
OAK,1,5,10,16
DEN,0,5,16,10
NYG,1,5,30,27
SF,0,5,27,30
SD,1,5,20,24
