team,ishome,week,pts,ptsallowed
NO,1,1,14,9
MIN,0,1,9,14
TB,1,1,17,14
CLE,0,1,14,17
BUF,1,1,10,15
MIA,0,1,15,10
NE,1,1,38,24
CIN,0,1,24,38
HOU,1,1,34,24
IND,0,1,24,34
JAC,1,1,24,17
DEN,0,1,17,24
TEN,1,1,38,13
OAK,0,1,13,38
NYG,1,1,31,18
CAR,0,1,18,31
CHI,1,1,19,14
DET,0,1,14,19
STL,1,1,13,17
ARI,0,1,17,13
PIT,1,1,15,9
ATL,0,1,9,15
PHI,1,1,20,27
GB,0,1,27,20
SEA,1,1,31,6
SF,0,1,6,31
WAS,1,1,13,7
DAL,0,1,7,13
NYJ,1,1,9,10
BAL,0,1,10,9
KC,1,1,21,14
SD,0,1,14,21
WAS,1,2,27,30
HOU,0,2,30,27
GB,1,2,34,7
BUF,0,2,7,34
MIN,1,2,10,14
MIA,0,2,14,10
CLE,1,2,14,16
KC,0,2,16,14
TEN,1,2,11,19
PIT,0,2,19,11
DAL,1,2,20,27
CHI,0,2,27,20
DET,1,2,32,35
PHI,0,2,35,32
ATL,1,2,41,7
ARI,0,2,7,41
CAR,1,2,7,20
TB,0,2,20,7
DEN,1,2,31,14
SEA,0,2,14,31
OAK,1,2,16,14
STL,0,2,14,16
NYJ,1,2,28,14
NE,0,2,14,28
CIN,1,2,15,10
BAL,0,2,10,15
SD,1,2,38,13
JAC,0,2,13,38
IND,1,2,38,14
NYG,0,2,14,38
SF,1,2,22,25
NO,0,2,25,22
NYG,1,3,10,29
TEN,0,3,29,10
CAR,1,3,7,20
CIN,0,3,20,7
TB,1,3,13,38
PIT,0,3,38,13
NE,1,3,38,30
BUF,0,3,30,38
BAL,1,3,24,17
CLE,0,3,17,24
MIN,1,3,24,10
DET,0,3,10,24
NO,1,3,24,27
ATL,0,3,27,24
STL,1,3,30,16
WAS,0,3,16,30
HOU,1,3,13,27
DAL,0,3,27,13
KC,1,3,31,10
SF,0,3,10,31
JAC,1,3,3,28
PHI,0,3,28,3
DEN,1,3,13,27
IND,0,3,27,13
ARI,1,3,24,23
OAK,0,3,23,24
SEA,1,3,27,20
SD,0,3,20,27
MIA,1,3,23,31
NYJ,0,3,31,23
CHI,1,3,20,17
GB,0,3,17,20
BUF,1,4,14,38
NYJ,0,4,38,14
CLE,1,4,23,20
CIN,0,4,20,23
PIT,1,4,14,17
BAL,0,4,17,14
TEN,1,4,20,26
DEN,0,4,26,20
GB,1,4,28,26
DET,0,4,26,28
ATL,1,4,16,14
SF,0,4,14,16
NO,1,4,16,14
CAR,0,4,14,16
STL,1,4,20,3
SEA,0,4,3,20
JAC,1,4,31,28
IND,0,4,28,31
OAK,1,4,24,31
HOU,0,4,31,24
PHI,1,4,12,17
WAS,0,4,17,12
SD,1,4,41,10
ARI,0,4,10,41
NYG,1,4,17,3
CHI,0,4,3,17
MIA,1,4,14,41
NE,0,4,41,14
BUF,1,5,26,36
JAC,0,5,36,26
BAL,1,5,31,17
DEN,0,5,17,31
IND,1,5,19,9
KC,0,5,9,19
WAS,1,5,16,13
GB,0,5,13,16
DET,1,5,44,6
STL,0,5,6,44
CAR,1,5,6,23
CHI,0,5,23,6
CIN,1,5,21,24
TB,0,5,24,21
CLE,1,5,10,20
ATL,0,5,20,10
HOU,1,5,10,34
NYG,0,5,34,10
ARI,1,5,30,20
NO,0,5,20,30
DAL,1,5,27,34
TEN,0,5,34,27
OAK,1,5,35,27
SD,0,5,27,35
SF,1,5,24,27
PHI,0,5,27,24
NYJ,1,5,29,20
MIN,0,5,20,29
GB,1,6,20,23
MIA,0,6,23,20
STL,1,6,20,17
SD,0,6,17,20
NE,1,6,23,20
BAL,0,6,20,23
PIT,1,6,28,10
CLE,0,6,10,28
HOU,1,6,35,31
KC,0,6,31,35
NYG,1,6,28,20
DET,0,6,20,28
PHI,1,6,31,17
ATL,0,6,17,31
CHI,1,6,20,23
SEA,0,6,23,20
TB,1,6,6,31
NO,0,6,31,6
DEN,1,6,20,24
NYJ,0,6,24,20
SF,1,6,17,9
OAK,0,6,9,17
MIN,1,6,24,21
DAL,0,6,21,24
WAS,1,6,24,27
IND,0,6,27,24
JAC,1,6,3,30
TEN,0,6,30,3
ATL,1,7,39,32
CIN,0,7,32,39
MIA,1,7,22,23
PIT,0,7,23,22
BAL,1,7,37,34
BUF,0,7,34,37
KC,1,7,42,20
JAC,0,7,20,42
NO,1,7,17,30
CLE,0,7,30,17
CHI,1,7,14,17
WAS,0,7,17,14
CAR,1,7,23,20
SF,0,7,20,23
TB,1,7,18,17
STL,0,7,17,18
TEN,1,7,37,19
PHI,0,7,19,37
SEA,1,7,22,10
ARI,0,7,10,22
SD,1,7,20,23
NE,0,7,23,20
DEN,1,7,14,59
OAK,0,7,59,14
GB,1,7,28,24
MIN,0,7,24,28
DAL,1,7,35,41
NYG,0,7,41,35
SF,1,8,24,16
DEN,0,8,16,24
DAL,1,8,17,35
JAC,0,8,35,17
CIN,1,8,14,22
MIA,0,8,22,14
KC,1,8,13,10
BUF,0,8,10,13
DET,1,8,37,25
WAS,0,8,25,37
STL,1,8,20,10
CAR,0,8,10,20
NYJ,1,8,0,9
GB,0,8,9,0
SD,1,8,33,25
TEN,0,8,25,33
NE,1,8,28,18
MIN,0,8,18,28
ARI,1,8,35,38
TB,0,8,38,35
OAK,1,8,33,3
SEA,0,8,3,33
NO,1,8,20,10
PIT,0,8,10,20
IND,1,8,30,17
HOU,0,8,17,30
DET,1,9,20,23
NYJ,0,9,23,20
BAL,1,9,26,10
MIA,0,9,10,26
CLE,1,9,34,14
NE,0,9,14,34
HOU,1,9,23,29
SD,0,9,29,23
BUF,1,9,19,22
CHI,0,9,22,19
MIN,1,9,27,24
ARI,0,9,24,27
ATL,1,9,27,21
TB,0,9,21,27
CAR,1,9,3,34
NO,0,9,34,3
SEA,1,9,7,41
NYG,0,9,41,7
PHI,1,9,26,24
IND,0,9,24,26
OAK,1,9,23,20
