team,ishome,week,pts,ptsallowed
GB,1,1,42,34
NO,0,1,34,42
BAL,1,1,35,7
PIT,0,1,7,35
CLE,1,1,17,27
CIN,0,1,27,17
HOU,1,1,34,7
IND,0,1,7,34
JAC,1,1,16,14
TEN,0,1,14,16
KC,1,1,7,41
BUF,0,1,41,7
CHI,1,1,30,12
ATL,0,1,12,30
TB,1,1,20,27
DET,0,1,27,20
STL,1,1,13,31
PHI,0,1,31,13
WAS,1,1,28,14
NYG,0,1,14,28
ARI,1,1,28,21
CAR,0,1,21,28
SF,1,1,33,17
SEA,0,1,17,33
SD,1,1,24,17
MIN,0,1,17,24
NYJ,1,1,27,24
DAL,0,1,24,27
MIA,1,1,24,38
NE,0,1,38,24
DEN,1,1,20,23
OAK,0,1,23,20
DET,1,2,48,3
KC,0,2,3,48
BUF,1,2,38,35
OAK,0,2,35,38
TEN,1,2,26,13
BAL,0,2,13,26
NYJ,1,2,32,3
JAC,0,2,3,32
IND,1,2,19,27
CLE,0,2,27,19
WAS,1,2,22,21
ARI,0,2,21,22
MIN,1,2,20,24
TB,0,2,24,20
CAR,1,2,23,30
GB,0,2,30,23
NO,1,2,30,13
CHI,0,2,13,30
PIT,1,2,24,0
SEA,0,2,0,24
SF,1,2,24,27
DAL,0,2,27,24
NE,1,2,35,21
SD,0,2,21,35
DEN,1,2,24,22
CIN,0,2,22,24
MIA,1,2,13,23
HOU,0,2,23,13
ATL,1,2,35,31
PHI,0,2,31,35
NYG,1,2,28,16
STL,0,2,16,28
CAR,1,3,16,10
JAC,0,3,10,16
NO,1,3,40,33
HOU,0,3,33,40
BUF,1,3,34,31
NE,0,3,31,34
CLE,1,3,17,16
MIA,0,3,16,17
TEN,1,3,17,14
DEN,0,3,14,17
PHI,1,3,16,29
NYG,0,3,29,16
MIN,1,3,23,26
DET,0,3,26,23
CIN,1,3,8,13
SF,0,3,13,8
OAK,1,3,34,24
NYJ,0,3,24,34
SD,1,3,20,17
KC,0,3,17,20
STL,1,3,7,37
BAL,0,3,37,7
CHI,1,3,17,27
GB,0,3,27,17
SEA,1,3,13,10
ARI,0,3,10,13
TB,1,3,16,13
ATL,0,3,13,16
IND,1,3,20,23
PIT,0,3,23,20
DAL,1,3,18,16
WAS,0,3,16,18
CIN,1,4,23,20
BUF,0,4,20,23
CLE,1,4,13,31
TEN,0,4,31,13
HOU,1,4,17,10
PIT,0,4,10,17
DAL,1,4,30,34
DET,0,4,34,30
PHI,1,4,23,24
SF,0,4,24,23
CHI,1,4,34,29
CAR,0,4,29,34
STL,1,4,10,17
WAS,0,4,17,10
JAC,1,4,10,23
NO,0,4,23,10
KC,1,4,22,17
MIN,0,4,17,22
ARI,1,4,27,31
NYG,0,4,31,27
SEA,1,4,28,30
ATL,0,4,30,28
GB,1,4,49,23
DEN,0,4,23,49
OAK,1,4,19,31
NE,0,4,31,19
SD,1,4,26,16
MIA,0,4,16,26
BAL,1,4,34,17
NYJ,0,4,17,34
TB,1,4,24,17
IND,0,4,17,24
PIT,1,5,38,17
TEN,0,5,17,38
HOU,1,5,20,25
OAK,0,5,25,20
IND,1,5,24,28
KC,0,5,28,24
JAC,1,5,20,30
CIN,0,5,30,20
NYG,1,5,25,36
SEA,0,5,36,25
MIN,1,5,34,10
ARI,0,5,10,34
CAR,1,5,27,30
NO,0,5,30,27
