team,ishome,week,pts,ptsallowed
BUF,1,5,31,24
PHI,0,5,24,31
SF,1,5,48,3
TB,0,5,3,48
NE,1,5,30,21
NYJ,0,5,21,30
DEN,1,5,24,29
SD,0,5,29,24
ATL,1,5,14,25
GB,0,5,25,14
DET,1,5,24,13
CHI,0,5,13,24
NYG,1,6,27,24
BUF,0,6,24,27
CIN,1,6,27,17
IND,0,6,17,27
PIT,1,6,17,13
JAC,0,6,13,17
WAS,1,6,13,20
PHI,0,6,20,13
DET,1,6,19,25
SF,0,6,25,19
GB,1,6,24,3
STL,0,6,3,24
ATL,1,6,31,17
CAR,0,6,17,31
OAK,1,6,24,17
CLE,0,6,17,24
BAL,1,6,29,14
HOU,0,6,14,29
TB,1,6,26,20
NO,0,6,20,26
NE,1,6,20,16
DAL,0,6,16,20
CHI,1,6,39,10
MIN,0,6,10,39
NYJ,1,6,24,6
MIA,0,6,6,24
MIA,1,7,15,18
DEN,0,7,18,15
NYJ,1,7,27,21
SD,0,7,21,27
TEN,1,7,7,41
HOU,0,7,41,7
DET,1,7,16,23
ATL,0,7,23,16
CAR,1,7,33,20
WAS,0,7,20,33
TB,1,7,18,24
CHI,0,7,24,18
CLE,1,7,6,3
SEA,0,7,3,6
ARI,1,7,20,32
PIT,0,7,32,20
OAK,1,7,0,28
KC,0,7,28,0
MIN,1,7,27,33
GB,0,7,33,27
DAL,1,7,34,7
STL,0,7,7,34
NO,1,7,62,7
IND,0,7,7,62
JAC,1,7,12,7
BAL,0,7,7,12
NYG,1,8,20,17
MIA,0,8,17,20
HOU,1,8,24,14
JAC,0,8,14,24
TEN,1,8,27,10
IND,0,8,10,27
CAR,1,8,21,24
MIN,0,8,24,21
STL,1,8,31,21
NO,0,8,21,31
BAL,1,8,30,27
ARI,0,8,27,30
DEN,1,8,10,45
DET,0,8,45,10
BUF,1,8,23,0
WAS,0,8,0,23
PIT,1,8,25,17
NE,0,8,17,25
SF,1,8,20,10
CLE,0,8,10,20
SEA,1,8,12,34
CIN,0,8,34,12
PHI,1,8,34,7
DAL,0,8,7,34
KC,1,8,23,20
SD,0,8,20,23
BUF,1,9,11,27
NYJ,0,9,27,11
HOU,1,9,30,12
CLE,0,9,12,30
KC,1,9,3,31
MIA,0,9,31,3
DAL,1,9,23,13
SEA,0,9,13,23
WAS,1,9,11,19
SF,0,9,19,11
NO,1,9,27,16
TB,0,9,16,27
IND,1,9,7,31
ATL,0,9,31,7
OAK,1,9,24,38
DEN,0,9,38,24
TEN,1,9,17,24
CIN,0,9,24,17
NE,1,9,20,24
NYG,0,9,24,20
SD,1,9,38,45
GB,0,9,45,38
ARI,1,9,19,13
STL,0,9,13,19
PIT,1,9,20,23
BAL,0,9,23,20
PHI,1,9,24,30
CHI,0,9,30,24
SD,1,10,17,24
OAK,0,10,24,17
DAL,1,10,44,7
BUF,0,10,7,44
CAR,1,10,3,30
TEN,0,10,30,3
TB,1,10,9,37
HOU,0,10,37,9
CIN,1,10,17,24
PIT,0,10,24,17
IND,1,10,3,17
JAC,0,10,17,3
KC,1,10,10,17
DEN,0,10,17,10
PHI,1,10,17,21
ARI,0,10,21,17
CHI,1,10,37,13
DET,0,10,13,37
ATL,1,10,23,26
NO,0,10,26,23
MIA,1,10,20,9
WAS,0,10,9,20
CLE,1,10,12,13
STL,0,10,13,12
SEA,1,10,22,17
BAL,0,10,17,22
SF,1,10,27,20
NYG,0,10,20,27
NYJ,1,10,16,37
NE,0,10,37,16
GB,1,10,45,7
MIN,0,10,7,45
DEN,1,11,17,13
NYJ,0,11,13,17
MIN,1,11,21,27
OAK,0,11,27,21
ATL,1,11,23,17
TEN,0,11,17,23
MIA,1,11,35,8
BUF,0,11,8,35
CLE,1,11,14,10
JAC,0,11,10,14
BAL,1,11,31,24
CIN,0,11,24,31
WAS,1,11,24,27
DAL,0,11,27,24
DET,1,11,49,35
CAR,0,11,35,49
GB,1,11,35,26
TB,0,11,26,35
SF,1,11,23,7
ARI,0,11,7,23
STL,1,11,7,24
SEA,0,11,24,7
CHI,1,11,31,20
SD,0,11,20,31
NYG,1,11,10,17
PHI,0,11,17,10
NE,1,11,34,3
KC,0,11,3,34
DET,1,12,15,27
GB,0,12,27,15
DAL,1,12,20,19
MIA,0,12,19,20
BAL,1,12,16,6
SF,0,12,6,16
NYJ,1,12,28,24
BUF,0,12,24,28
CIN,1,12,23,20
CLE,0,12,20,23
JAC,1,12,13,20
HOU,0,12,20,13
ATL,1,12,24,14
MIN,0,12,14,24
STL,1,12,20,23
ARI,0,12,23,20
IND,1,12,19,27
CAR,0,12,27,19
TEN,1,12,23,17
TB,0,12,17,23
SEA,1,12,17,23
WAS,0,12,23,17
OAK,1,12,25,20
CHI,0,12,20,25
PHI,1,12,20,38
NE,0,12,38,20
SD,1,12,13,16
DEN,0,12,16,13
KC,1,12,9,13
PIT,0,12,13,9
NO,1,12,49,24
NYG,0,12,24,49
SEA,1,13,31,14
PHI,0,13,14,31
WAS,1,13,19,34
NYJ,0,13,34,19
CHI,1,13,3,10
KC,0,13,10,3
BUF,1,13,17,23
TEN,0,13,23,17
MIA,1,13,34,14
OAK,0,13,14,34
CLE,1,13,10,24
BAL,0,13,24,10
PIT,1,13,35,7
CIN,0,13,7,35
NO,1,13,31,17
DET,0,13,17,31
TB,1,13,19,38
CAR,0,13,38,19
HOU,1,13,17,10
ATL,0,13,10,17
MIN,1,13,32,35
DEN,0,13,35,32
NYG,1,13,35,38
GB,0,13,38,35
ARI,1,13,19,13
DAL,0,13,13,19
SF,1,13,26,0
STL,0,13,0,26
NE,1,13,31,24
IND,0,13,24,31
JAC,1,13,14,38
SD,0,13,38,14
PIT,1,14,14,3
CLE,0,14,3,14
WAS,1,14,27,34
NE,0,14,34,27
GB,1,14,46,16
OAK,0,14,16,46
NYJ,1,14,37,10
KC,0,14,10,37
CIN,1,14,19,20
HOU,0,14,20,19
BAL,1,14,24,10
IND,0,14,10,24
DET,1,14,34,28
MIN,0,14,28,34
CAR,1,14,23,31
ATL,0,14,31,23
MIA,1,14,10,26
PHI,0,14,26,10
JAC,1,14,41,14
TB,0,14,14,41
TEN,1,14,17,22
NO,0,14,22,17
ARI,1,14,21,19
SF,0,14,19,21
DEN,1,14,13,10
CHI,0,14,10,13
SD,1,14,37,10
BUF,0,14,10,37
DAL,1,14,34,37
NYG,0,14,37,34
SEA,1,14,30,13
STL,0,14,13,30
ATL,1,15,41,14
JAC,0,15,14,41
TB,1,15,15,31
DAL,0,15,31,15
STL,1,15,13,20
CIN,0,15,20,13
BUF,1,15,23,30
MIA,0,15,30,23
IND,1,15,27,13
TEN,0,15,13,27
NYG,1,15,10,23
WAS,0,15,23,10
CHI,1,15,14,38
SEA,0,15,38,14
MIN,1,15,20,42
NO,0,15,42,20
HOU,1,15,13,28
CAR,0,15,28,13
KC,1,15,19,14
GB,0,15,14,19
OAK,1,15,27,28
DET,0,15,28,27
PHI,1,15,45,19
NYJ,0,15,19,45
ARI,1,15,20,17
CLE,0,15,17,20
DEN,1,15,23,41
NE,0,15,41,23
SD,1,15,34,14
BAL,0,15,14,34
SF,1,15,20,3
PIT,0,15,3,20
IND,1,16,19,16
HOU,0,16,16,19
BUF,1,16,40,14
DEN,0,16,14,40
NE,1,16,27,24
MIA,0,16,24,27
BAL,1,16,20,14
CLE,0,16,14,20
TEN,1,16,23,17
JAC,0,16,17,23
KC,1,16,13,16
OAK,0,16,16,13
NYJ,1,16,14,29
NYG,0,16,29,14
WAS,1,16,26,33
MIN,0,16,33,26
CAR,1,16,48,16
TB,0,16,16,48
CIN,1,16,23,16
ARI,0,16,16,23
PIT,1,16,27,0
STL,0,16,0,27
DET,1,16,38,10
SD,0,16,10,38
DAL,1,16,7,20
PHI,0,16,20,7
SEA,1,16,17,19
SF,0,16,19,17
GB,1,16,35,21
CHI,0,16,21,35
NO,1,16,45,16
ATL,0,16,16,45
MIA,1,17,19,17
NYJ,0,17,17,19
NE,1,17,49,21
BUF,0,17,21,49
CIN,1,17,16,24
BAL,0,17,24,16
CLE,1,17,9,13
PIT,0,17,13,9
HOU,1,17,22,23
TEN,0,17,23,22
JAC,1,17,19,13
IND,0,17,13,19
NYG,1,17,31,14
DAL,0,17,14,31
PHI,1,17,34,10
WAS,0,17,10,34
GB,1,17,45,41
DET,0,17,41,45
MIN,1,17,13,17
CHI,0,17,17,13
ATL,1,17,45,24
TB,0,17,24,45
NO,1,17,45,17
CAR,0,17,17,45
STL,1,17,27,34
SF,0,17,34,27
DEN,1,17,3,7
KC,0,17,7,3
OAK,1,17,26,38
SD,0,17,38,26
ARI,1,17,23,20
SEA,0,17,20,23
