team,ishome,week,pts,ptsallowed
DAL,1,5,48,51
DEN,0,5,51,48
OAK,1,5,27,17
SD,0,5,17,27
SF,1,5,34,3
HOU,0,5,3,34
ATL,1,5,28,30
NYJ,0,5,30,28
CHI,1,6,27,21
NYG,0,6,21,27
BAL,1,6,17,19
GB,0,6,19,17
BUF,1,6,24,27
CIN,0,6,27,24
CLE,1,6,17,31
DET,0,6,31,17
HOU,1,6,13,38
STL,0,6,38,13
KC,1,6,24,7
OAK,0,6,7,24
MIN,1,6,10,35
CAR,0,6,35,10
NYJ,1,6,6,19
PIT,0,6,19,6
TB,1,6,20,31
PHI,0,6,31,20
DEN,1,6,35,19
JAC,0,6,19,35
SEA,1,6,20,13
TEN,0,6,13,20
NE,1,6,30,27
NO,0,6,27,30
SF,1,6,32,20
ARI,0,6,20,32
DAL,1,6,31,16
WAS,0,6,16,31
SD,1,6,19,9
IND,0,6,9,19
ARI,1,7,22,34
SEA,0,7,34,22
ATL,1,7,31,23
TB,0,7,23,31
CAR,1,7,30,15
STL,0,7,15,30
DET,1,7,24,27
CIN,0,7,27,24
GB,1,7,31,13
CLE,0,7,13,31
JAC,1,7,6,24
SD,0,7,24,6
KC,1,7,17,16
HOU,0,7,16,17
MIA,1,7,21,23
BUF,0,7,23,21
NYJ,1,7,30,27
NE,0,7,27,30
PHI,1,7,3,17
DAL,0,7,17,3
WAS,1,7,45,41
CHI,0,7,41,45
TEN,1,7,17,31
SF,0,7,31,17
PIT,1,7,19,16
BAL,0,7,16,19
IND,1,7,39,33
DEN,0,7,33,39
NYG,1,7,23,7
MIN,0,7,7,23
TB,1,8,13,31
CAR,0,8,31,13
DET,1,8,31,30
DAL,0,8,30,31
JAC,1,8,10,42
SF,0,8,42,10
KC,1,8,23,17
CLE,0,8,17,23
NE,1,8,27,17
MIA,0,8,17,27
NO,1,8,35,17
BUF,0,8,17,35
PHI,1,8,7,15
NYG,0,8,15,7
OAK,1,8,21,18
PIT,0,8,18,21
CIN,1,8,49,9
NYJ,0,8,9,49
ARI,1,8,27,13
ATL,0,8,13,27
DEN,1,8,45,21
WAS,0,8,21,45
MIN,1,8,31,44
GB,0,8,44,31
STL,1,8,9,14
SEA,0,8,14,9
MIA,1,9,22,20
CIN,0,9,20,22
BUF,1,9,13,23
KC,0,9,23,13
CAR,1,9,34,10
ATL,0,9,10,34
DAL,1,9,27,23
MIN,0,9,23,27
NYJ,1,9,26,20
NO,0,9,20,26
STL,1,9,21,28
TEN,0,9,28,21
WAS,1,9,30,24
SD,0,9,24,30
OAK,1,9,20,49
PHI,0,9,49,20
SEA,1,9,27,24
TB,0,9,24,27
CLE,1,9,24,18
BAL,0,9,18,24
NE,1,9,55,31
PIT,0,9,31,55
HOU,1,9,24,27
IND,0,9,27,24
GB,1,9,20,27
CHI,0,9,27,20
MIN,1,10,34,27
WAS,0,10,27,34
ATL,1,10,10,33
SEA,0,10,33,10
BAL,1,10,20,17
CIN,0,10,17,20
CHI,1,10,19,21
DET,0,10,21,19
GB,1,10,13,27
PHI,0,10,27,13
IND,1,10,8,38
STL,0,10,38,8
NYG,1,10,24,20
OAK,0,10,20,24
PIT,1,10,23,10
BUF,0,10,10,23
TEN,1,10,27,29
JAC,0,10,29,27
SF,1,10,9,10
CAR,0,10,10,9
ARI,1,10,27,24
HOU,0,10,24,27
SD,1,10,20,28
DEN,0,10,28,20
NO,1,10,49,17
DAL,0,10,17,49
TB,1,10,22,19
MIA,0,10,19,22
TEN,1,11,27,30
IND,0,11,30,27
BUF,1,11,37,14
NYJ,0,11,14,37
CHI,1,11,23,20
BAL,0,11,20,23
CIN,1,11,41,20
CLE,0,11,20,41
HOU,1,11,23,28
OAK,0,11,28,23
JAC,1,11,14,27
ARI,0,11,27,14
MIA,1,11,20,16
SD,0,11,16,20
PHI,1,11,24,16
WAS,0,11,16,24
PIT,1,11,37,27
DET,0,11,27,37
TB,1,11,41,28
ATL,0,11,28,41
DEN,1,11,27,17
KC,0,11,17,27
NO,1,11,23,20
SF,0,11,20,23
SEA,1,11,41,20
MIN,0,11,20,41
NYG,1,11,27,13
GB,0,11,13,27
CAR,1,11,24,20
NE,0,11,20,24
ATL,1,12,13,17
NO,0,12,17,13
BAL,1,12,19,3
NYJ,0,12,3,19
CLE,1,12,11,27
PIT,0,12,27,11
DET,1,12,21,24
TB,0,12,24,21
GB,1,12,26,26
MIN,0,12,26,26
HOU,1,12,6,13
JAC,0,12,13,6
KC,1,12,38,41
SD,0,12,41,38
MIA,1,12,16,20
CAR,0,12,20,16
STL,1,12,42,21
CHI,0,12,21,42
ARI,1,12,40,11
IND,0,12,11,40
OAK,1,12,19,23
TEN,0,12,23,19
NYG,1,12,21,24
DAL,0,12,24,21
NE,1,12,34,31
DEN,0,12,31,34
WAS,1,12,6,27
SF,0,12,27,6
DET,1,13,40,10
GB,0,13,10,40
DAL,1,13,31,24
OAK,0,13,24,31
BAL,1,13,22,20
PIT,0,13,20,22
CAR,1,13,27,6
TB,0,13,6,27
CLE,1,13,28,32
JAC,0,13,32,28
IND,1,13,22,14
TEN,0,13,14,22
KC,1,13,28,35
DEN,0,13,35,28
MIN,1,13,23,20
CHI,0,13,20,23
NYJ,1,13,3,23
MIA,0,13,23,3
PHI,1,13,24,21
ARI,0,13,21,24
BUF,1,13,31,34
ATL,0,13,34,31
SF,1,13,23,13
STL,0,13,13,23
HOU,1,13,31,34
NE,0,13,34,31
SD,1,13,10,17
CIN,0,13,17,10
WAS,1,13,17,24
NYG,0,13,24,17
SEA,1,13,34,7
NO,0,13,7,34
JAC,1,14,27,20
HOU,0,14,20,27
BAL,1,14,29,26
MIN,0,14,26,29
CIN,1,14,42,28
IND,0,14,28,42
NE,1,14,27,26
CLE,0,14,26,27
NYJ,1,14,37,27
OAK,0,14,27,37
NO,1,14,31,13
CAR,0,14,13,31
PHI,1,14,34,20
DET,0,14,20,34
PIT,1,14,28,34
MIA,0,14,34,28
TB,1,14,27,6
BUF,0,14,6,27
WAS,1,14,10,45
KC,0,14,45,10
DEN,1,14,51,28
TEN,0,14,28,51
ARI,1,14,30,10
STL,0,14,10,30
SD,1,14,37,14
NYG,0,14,14,37
SF,1,14,19,17
SEA,0,14,17,19
GB,1,14,22,21
ATL,0,14,21,22
CHI,1,14,45,28
DAL,0,14,28,45
DEN,1,15,20,27
SD,0,15,27,20
ATL,1,15,27,26
WAS,0,15,26,27
CLE,1,15,31,38
CHI,0,15,38,31
IND,1,15,25,3
HOU,0,15,3,25
JAC,1,15,20,27
BUF,0,15,27,20
MIA,1,15,24,20
NE,0,15,20,24
MIN,1,15,48,30
PHI,0,15,30,48
NYG,1,15,0,23
SEA,0,15,23,0
STL,1,15,27,16
NO,0,15,16,27
TB,1,15,14,33
SF,0,15,33,14
TEN,1,15,34,37
ARI,0,15,37,34
CAR,1,15,30,20
NYJ,0,15,20,30
OAK,1,15,31,56
KC,0,15,56,31
DAL,1,15,36,37
GB,0,15,37,36
PIT,1,15,30,20
CIN,0,15,20,30
DET,1,15,16,18
BAL,0,15,18,16
BUF,1,16,19,0
MIA,0,16,0,19
CAR,1,16,17,13
NO,0,16,13,17
CIN,1,16,42,14
MIN,0,16,14,42
HOU,1,16,13,37
DEN,0,16,37,13
JAC,1,16,16,20
TEN,0,16,20,16
KC,1,16,7,23
IND,0,16,23,7
NYJ,1,16,24,13
CLE,0,16,13,24
PHI,1,16,54,11
CHI,0,16,11,54
STL,1,16,23,13
TB,0,16,13,23
WAS,1,16,23,24
DAL,0,16,24,23
DET,1,16,20,23
NYG,0,16,23,20
SEA,1,16,10,17
ARI,0,16,17,10
GB,1,16,31,38
PIT,0,16,38,31
SD,1,16,26,13
OAK,0,16,13,26
BAL,1,16,7,41
NE,0,16,41,7
SF,1,16,34,24
ATL,0,16,24,34
ATL,1,17,20,21
CAR,0,17,21,20
CHI,1,17,28,33
GB,0,17,33,28
CIN,1,17,34,17
BAL,0,17,17,34
DAL,1,17,22,24
PHI,0,17,24,22
IND,1,17,30,10
JAC,0,17,10,30
MIA,1,17,7,20
NYJ,0,17,20,7
MIN,1,17,14,13
DET,0,17,13,14
NE,1,17,34,20
BUF,0,17,20,34
NO,1,17,42,17
TB,0,17,17,42
NYG,1,17,20,6
WAS,0,17,6,20
PIT,1,17,20,7
CLE,0,17,7,20
TEN,1,17,16,10
HOU,0,17,10,16
ARI,1,17,20,23
SF,0,17,23,20
OAK,1,17,14,34
DEN,0,17,34,14
SD,1,17,27,24
KC,0,17,24,27
SEA,1,17,27,9
STL,0,17,9,27
