team,ishome,week,pts,ptsallowed
DEN,1,1,49,27
BAL,0,1,27,49
BUF,1,1,21,23
NE,0,1,23,21
CAR,1,1,7,12
SEA,0,1,12,7
CHI,1,1,24,21
CIN,0,1,21,24
CLE,1,1,10,23
MIA,0,1,23,10
DET,1,1,34,24
MIN,0,1,24,34
IND,1,1,21,17
OAK,0,1,17,21
JAC,1,1,2,28
KC,0,1,28,2
NYJ,1,1,18,17
TB,0,1,17,18
NO,1,1,23,17
ATL,0,1,17,23
PIT,1,1,9,16
TEN,0,1,16,9
STL,1,1,27,24
ARI,0,1,24,27
SF,1,1,34,28
GB,0,1,28,34
DAL,1,1,36,31
NYG,0,1,31,36
WAS,1,1,27,33
PHI,0,1,33,27
SD,1,1,28,31
HOU,0,1,31,28
NE,1,2,13,10
NYJ,0,2,10,13
ATL,1,2,31,24
STL,0,2,24,31
BAL,1,2,14,6
CLE,0,2,6,14
BUF,1,2,24,23
CAR,0,2,23,24
CHI,1,2,31,30
MIN,0,2,30,31
GB,1,2,38,20
WAS,0,2,20,38
HOU,1,2,30,24
TEN,0,2,24,30
IND,1,2,20,24
MIA,0,2,24,20
KC,1,2,17,16
DAL,0,2,16,17
PHI,1,2,30,33
SD,0,2,33,30
ARI,1,2,25,21
DET,0,2,21,25
TB,1,2,14,16
NO,0,2,16,14
NYG,1,2,23,41
DEN,0,2,41,23
OAK,1,2,19,9
JAC,0,2,9,19
SEA,1,2,29,3
SF,0,2,3,29
CIN,1,2,20,10
PIT,0,2,10,20
PHI,1,3,16,26
KC,0,3,26,16
BAL,1,3,30,9
HOU,0,3,9,30
CIN,1,3,34,30
GB,0,3,30,34
DAL,1,3,31,7
STL,0,3,7,31
MIA,1,3,27,23
ATL,0,3,23,27
MIN,1,3,27,31
CLE,0,3,31,27
NYJ,1,3,27,20
BUF,0,3,20,27
NE,1,3,23,3
TB,0,3,3,23
NO,1,3,31,7
ARI,0,3,7,31
TEN,1,3,20,17
SD,0,3,17,20
WAS,1,3,20,27
DET,0,3,27,20
CAR,1,3,38,0
NYG,0,3,0,38
SF,1,3,7,27
IND,0,3,27,7
SEA,1,3,45,17
JAC,0,3,17,45
PIT,1,3,23,40
CHI,0,3,40,23
DEN,1,3,37,21
OAK,0,3,21,37
STL,1,4,11,35
SF,0,4,35,11
BUF,1,4,23,20
BAL,0,4,20,23
CLE,1,4,17,6
CIN,0,4,6,17
DET,1,4,40,32
CHI,0,4,32,40
HOU,1,4,20,23
SEA,0,4,23,20
JAC,1,4,3,37
IND,0,4,37,3
KC,1,4,31,7
NYG,0,4,7,31
MIN,1,4,34,27
PIT,0,4,27,34
TB,1,4,10,13
ARI,0,4,13,10
TEN,1,4,38,13
NYJ,0,4,13,38
DEN,1,4,52,20
PHI,0,4,20,52
OAK,1,4,14,24
WAS,0,4,24,14
SD,1,4,30,21
DAL,0,4,21,30
ATL,1,4,23,30
NE,0,4,30,23
NO,1,4,38,17
MIA,0,4,17,38
CLE,1,5,37,24
BUF,0,5,24,37
CHI,1,5,18,26
NO,0,5,26,18
CIN,1,5,13,6
NE,0,5,6,13
GB,1,5,22,9
DET,0,5,9,22
IND,1,5,34,28
SEA,0,5,28,34
MIA,1,5,23,26
BAL,0,5,26,23
NYG,1,5,21,36
PHI,0,5,36,21
STL,1,5,34,20
JAC,0,5,20,34
TEN,1,5,17,26
KC,0,5,26,17
ARI,1,5,22,6
CAR,0,5,6,22
