team,ishome,week,pts,ptsallowed
SEA,1,1,36,16
GB,0,1,16,36
ATL,1,1,37,34
NO,0,1,34,37
BAL,1,1,16,23
CIN,0,1,23,16
CHI,1,1,20,23
BUF,0,1,23,20
HOU,1,1,17,6
WAS,0,1,6,17
KC,1,1,10,26
TEN,0,1,26,10
MIA,1,1,33,20
NE,0,1,20,33
NYJ,1,1,19,14
OAK,0,1,14,19
PHI,1,1,34,17
JAC,0,1,17,34
PIT,1,1,30,27
CLE,0,1,27,30
STL,1,1,6,34
MIN,0,1,34,6
DAL,1,1,17,28
SF,0,1,28,17
TB,1,1,14,20
CAR,0,1,20,14
DEN,1,1,31,24
IND,0,1,24,31
DET,1,1,35,14
NYG,0,1,14,35
ARI,1,1,18,17
SD,0,1,17,18
BAL,1,2,26,6
PIT,0,2,6,26
BUF,1,2,29,10
MIA,0,2,10,29
CAR,1,2,24,7
DET,0,2,7,24
CIN,1,2,24,10
ATL,0,2,10,24
CLE,1,2,26,24
NO,0,2,24,26
MIN,1,2,7,30
NE,0,2,30,7
NYG,1,2,14,25
ARI,0,2,25,14
TEN,1,2,10,26
DAL,0,2,26,10
WAS,1,2,41,10
JAC,0,2,10,41
SD,1,2,30,21
SEA,0,2,21,30
TB,1,2,17,19
STL,0,2,19,17
DEN,1,2,24,17
KC,0,2,17,24
GB,1,2,31,24
NYJ,0,2,24,31
OAK,1,2,14,30
HOU,0,2,30,14
SF,1,2,20,28
CHI,0,2,28,20
IND,1,2,27,30
PHI,0,2,30,27
ATL,1,3,56,14
TB,0,3,14,56
BUF,1,3,10,22
SD,0,3,22,10
CIN,1,3,33,7
TEN,0,3,7,33
CLE,1,3,21,23
BAL,0,3,23,21
DET,1,3,19,7
GB,0,3,7,19
JAC,1,3,17,44
IND,0,3,44,17
NE,1,3,16,9
OAK,0,3,9,16
NO,1,3,20,9
MIN,0,3,9,20
NYG,1,3,30,17
HOU,0,3,17,30
PHI,1,3,37,34
WAS,0,3,34,37
STL,1,3,31,34
DAL,0,3,34,31
ARI,1,3,23,14
SF,0,3,14,23
MIA,1,3,15,34
KC,0,3,34,15
SEA,1,3,26,20
DEN,0,3,20,26
CAR,1,3,19,37
PIT,0,3,37,19
NYJ,1,3,19,27
CHI,0,3,27,19
WAS,1,4,14,45
NYG,0,4,45,14
BAL,1,4,38,10
CAR,0,4,10,38
CHI,1,4,17,38
GB,0,4,38,17
HOU,1,4,23,17
BUF,0,4,17,23
IND,1,4,41,17
TEN,0,4,17,41
MIN,1,4,41,28
ATL,0,4,28,41
NYJ,1,4,17,24
DET,0,4,24,17
OAK,1,4,14,38
MIA,0,4,38,14
PIT,1,4,24,27
TB,0,4,27,24
SD,1,4,33,14
JAC,0,4,14,33
SF,1,4,26,21
PHI,0,4,21,26
DAL,1,4,38,17
NO,0,4,17,38
KC,1,4,41,14
NE,0,4,14,41
GB,1,5,42,10
MIN,0,5,10,42
CAR,1,5,31,24
CHI,0,5,24,31
DAL,1,5,20,17
HOU,0,5,17,20
DET,1,5,14,17
BUF,0,5,17,14
IND,1,5,20,13
BAL,0,5,13,20
JAC,1,5,9,17
PIT,0,5,17,9
NO,1,5,37,31
TB,0,5,31,37
NYG,1,5,30,20
ATL,0,5,20,30
PHI,1,5,34,28
STL,0,5,28,34
TEN,1,5,28,29
CLE,0,5,29,28
DEN,1,5,41,20
ARI,0,5,20,41
SD,1,5,31,0
NYJ,0,5,0,31
SF,1,5,22,17
KC,0,5,17,22
NE,1,5,43,17
CIN,0,5,17,43
WAS,1,5,17,27
SEA,0,5,27,17
HOU,1,6,28,33
IND,0,6,33,28
ATL,1,6,13,27
CHI,0,6,27,13
BUF,1,6,22,37
NE,0,6,37,22
CIN,1,6,37,37
CAR,0,6,37,37
CLE,1,6,31,10
PIT,0,6,10,31
MIA,1,6,24,27
GB,0,6,27,24
MIN,1,6,3,17
DET,0,6,17,3
NYJ,1,6,17,31
DEN,0,6,31,17
TB,1,6,17,48
BAL,0,6,48,17
TEN,1,6,16,14
JAC,0,6,14,16
OAK,1,6,28,31
SD,0,6,31,28
ARI,1,6,30,20
WAS,0,6,20,30
SEA,1,6,23,30
DAL,0,6,30,23
PHI,1,6,27,0
NYG,0,6,0,27
STL,1,6,17,31
SF,0,6,31,17
NE,1,7,27,25
NYJ,0,7,25,27
BAL,1,7,29,7
ATL,0,7,7,29
BUF,1,7,17,16
MIN,0,7,16,17
CHI,1,7,14,27
MIA,0,7,27,14
DET,1,7,24,23
NO,0,7,23,24
GB,1,7,38,17
CAR,0,7,17,38
IND,1,7,27,0
CIN,0,7,0,27
JAC,1,7,24,6
CLE,0,7,6,24
STL,1,7,28,26
SEA,0,7,26,28
WAS,1,7,19,17
TEN,0,7,17,19
SD,1,7,20,23
KC,0,7,23,20
DAL,1,7,31,21
NYG,0,7,21,31
