team,ishome,week,pts,ptsallowed
OAK,1,7,13,24
ARI,0,7,24,13
DEN,1,7,42,17
SF,0,7,17,42
PIT,1,7,30,23
HOU,0,7,23,30
DEN,1,8,35,21
SD,0,8,21,35
ATL,1,8,21,22
DET,0,8,22,21
CAR,1,8,9,13
SEA,0,8,13,9
CIN,1,8,27,24
BAL,0,8,24,27
JAC,1,8,13,27
MIA,0,8,27,13
KC,1,8,34,7
STL,0,8,7,34
NE,1,8,51,23
CHI,0,8,23,51
NYJ,1,8,23,43
BUF,0,8,43,23
TB,1,8,13,19
MIN,0,8,19,13
TEN,1,8,16,30
HOU,0,8,30,16
ARI,1,8,24,20
PHI,0,8,20,24
CLE,1,8,23,13
OAK,0,8,13,23
PIT,1,8,51,34
IND,0,8,34,51
NO,1,8,44,23
GB,0,8,23,44
DAL,1,8,17,20
WAS,0,8,20,17
CAR,1,9,10,28
NO,0,9,28,10
CIN,1,9,33,23
JAC,0,9,23,33
CLE,1,9,22,17
TB,0,9,17,22
DAL,1,9,17,28
ARI,0,9,28,17
HOU,1,9,21,31
PHI,0,9,31,21
KC,1,9,24,10
NYJ,0,9,10,24
MIA,1,9,37,0
SD,0,9,0,37
MIN,1,9,29,26
WAS,0,9,26,29
SF,1,9,10,13
STL,0,9,13,10
NE,1,9,43,21
DEN,0,9,21,43
SEA,1,9,30,24
OAK,0,9,24,30
PIT,1,9,43,23
BAL,0,9,23,43
NYG,1,9,24,40
IND,0,9,40,24
CIN,1,10,3,24
CLE,0,10,24,3
BAL,1,10,21,7
TEN,0,10,7,21
BUF,1,10,13,17
KC,0,10,17,13
DET,1,10,20,16
MIA,0,10,16,20
JAC,1,10,17,31
DAL,0,10,31,17
NO,1,10,24,27
SF,0,10,27,24
NYJ,1,10,20,13
PIT,0,10,13,20
TB,1,10,17,27
ATL,0,10,27,17
OAK,1,10,17,41
DEN,0,10,41,17
ARI,1,10,31,14
STL,0,10,14,31
SEA,1,10,38,17
NYG,0,10,17,38
GB,1,10,55,14
CHI,0,10,14,55
PHI,1,10,45,21
CAR,0,10,21,45
MIA,1,11,22,9
BUF,0,11,9,22
CAR,1,11,17,19
ATL,0,11,19,17
CHI,1,11,21,13
MIN,0,11,13,21
CLE,1,11,7,23
HOU,0,11,23,7
GB,1,11,53,20
PHI,0,11,20,53
KC,1,11,24,20
SEA,0,11,20,24
NO,1,11,10,27
CIN,0,11,27,10
NYG,1,11,10,16
SF,0,11,16,10
STL,1,11,22,7
DEN,0,11,7,22
WAS,1,11,7,27
TB,0,11,27,7
SD,1,11,13,6
OAK,0,11,6,13
ARI,1,11,14,6
DET,0,11,6,14
IND,1,11,20,42
NE,0,11,42,20
TEN,1,11,24,27
PIT,0,11,27,24
OAK,1,12,24,20
KC,0,12,20,24
ATL,1,12,24,26
CLE,0,12,26,24
BUF,1,12,38,3
NYJ,0,12,3,38
CHI,1,12,21,13
TB,0,12,13,21
HOU,1,12,13,22
CIN,0,12,22,13
IND,1,12,23,3
JAC,0,12,3,23
MIN,1,12,21,24
GB,0,12,24,21
NE,1,12,34,9
DET,0,12,9,34
PHI,1,12,43,24
TEN,0,12,24,43
SD,1,12,27,24
STL,0,12,24,27
SEA,1,12,19,3
ARI,0,12,3,19
DEN,1,12,39,36
MIA,0,12,36,39
SF,1,12,17,13
WAS,0,12,13,17
NYG,1,12,28,31
DAL,0,12,31,28
NO,1,12,27,34
BAL,0,12,34,27
DET,1,13,34,17
CHI,0,13,17,34
DAL,1,13,10,33
PHI,0,13,33,10
SF,1,13,3,19
SEA,0,13,19,3
BAL,1,13,33,34
SD,0,13,34,33
BUF,1,13,26,10
CLE,0,13,10,26
HOU,1,13,45,21
TEN,0,13,21,45
IND,1,13,49,27
WAS,0,13,27,49
JAC,1,13,25,24
NYG,0,13,24,25
MIN,1,13,31,13
CAR,0,13,13,31
PIT,1,13,32,35
NO,0,13,35,32
STL,1,13,52,0
OAK,0,13,0,52
TB,1,13,13,14
CIN,0,13,14,13
ATL,1,13,29,18
ARI,0,13,18,29
GB,1,13,26,21
NE,0,13,21,26
KC,1,13,16,29
DEN,0,13,29,16
NYJ,1,13,13,16
MIA,0,13,16,13
CHI,1,14,28,41
DAL,0,14,41,28
CIN,1,14,21,42
PIT,0,14,42,21
CLE,1,14,24,25
IND,0,14,25,24
DET,1,14,34,17
TB,0,14,17,34
JAC,1,14,13,27
HOU,0,14,27,13
MIA,1,14,13,28
BAL,0,14,28,13
MIN,1,14,30,24
NYJ,0,14,24,30
NO,1,14,10,41
CAR,0,14,41,10
TEN,1,14,7,36
NYG,0,14,36,7
WAS,1,14,0,24
STL,0,14,24,0
ARI,1,14,17,14
KC,0,14,14,17
DEN,1,14,24,17
BUF,0,14,17,24
OAK,1,14,24,13
SF,0,14,13,24
PHI,1,14,14,24
SEA,0,14,24,14
SD,1,14,14,23
NE,0,14,23,14
GB,1,14,43,37
ATL,0,14,37,43
STL,1,15,6,12
ARI,0,15,12,6
ATL,1,15,20,27
PIT,0,15,27,20
BAL,1,15,20,12
JAC,0,15,12,20
BUF,1,15,21,13
GB,0,15,13,21
CAR,1,15,19,17
TB,0,15,17,19
CLE,1,15,0,30
CIN,0,15,30,0
DET,1,15,16,14
MIN,0,15,14,16
IND,1,15,17,10
HOU,0,15,10,17
KC,1,15,31,13
OAK,0,15,13,31
NE,1,15,41,13
MIA,0,15,13,41
NYG,1,15,24,13
WAS,0,15,13,24
SD,1,15,10,22
DEN,0,15,22,10
TEN,1,15,11,16
NYJ,0,15,16,11
SEA,1,15,17,7
SF,0,15,7,17
PHI,1,15,27,38
DAL,0,15,38,27
CHI,1,15,15,31
NO,0,15,31,15
JAC,1,16,21,13
TEN,0,16,13,21
WAS,1,16,27,24
PHI,0,16,24,27
SF,1,16,35,38
SD,0,16,38,35
CAR,1,16,17,13
CLE,0,16,13,17
CHI,1,16,14,20
DET,0,16,20,14
HOU,1,16,25,13
BAL,0,16,13,25
MIA,1,16,37,35
MIN,0,16,35,37
NO,1,16,14,30
ATL,0,16,30,14
NYJ,1,16,16,17
NE,0,16,17,16
PIT,1,16,20,12
KC,0,16,12,20
TB,1,16,3,20
GB,0,16,20,3
STL,1,16,27,37
NYG,0,16,37,27
DAL,1,16,42,7
IND,0,16,7,42
OAK,1,16,26,24
BUF,0,16,24,26
ARI,1,16,6,35
SEA,0,16,35,6
CIN,1,16,37,28
DEN,0,16,28,37
ATL,1,17,3,34
CAR,0,17,34,3
BAL,1,17,20,10
CLE,0,17,10,20
GB,1,17,30,20
DET,0,17,20,30
HOU,1,17,23,17
JAC,0,17,17,23
KC,1,17,19,7
SD,0,17,7,19
MIA,1,17,24,37
NYJ,0,17,37,24
MIN,1,17,13,9
CHI,0,17,9,13
NE,1,17,9,17
BUF,0,17,17,9
NYG,1,17,26,34
PHI,0,17,34,26
PIT,1,17,27,17
CIN,0,17,17,27
TB,1,17,20,23
NO,0,17,23,20
TEN,1,17,10,27
IND,0,17,27,10
WAS,1,17,17,44
DAL,0,17,44,17
DEN,1,17,47,14
OAK,0,17,14,47
SF,1,17,20,17
ARI,0,17,17,20
SEA,1,17,20,6
STL,0,17,6,20
