team,ishome,week,pts,ptsallowed
NYG,1,1,17,24
DAL,0,1,24,17
CHI,1,1,41,21
IND,0,1,21,41
MIN,1,1,26,23
JAC,0,1,23,26
NYJ,1,1,48,28
BUF,0,1,28,48
HOU,1,1,30,10
MIA,0,1,10,30
TEN,1,1,13,34
NE,0,1,34,13
DET,1,1,27,23
STL,0,1,23,27
NO,1,1,32,40
WAS,0,1,40,32
CLE,1,1,16,17
PHI,0,1,17,16
KC,1,1,24,40
ATL,0,1,40,24
GB,1,1,22,30
SF,0,1,30,22
ARI,1,1,20,16
SEA,0,1,16,20
TB,1,1,16,10
CAR,0,1,10,16
DEN,1,1,31,19
PIT,0,1,19,31
BAL,1,1,44,13
CIN,0,1,13,44
OAK,1,1,14,22
SD,0,1,22,14
GB,1,2,23,10
CHI,0,2,10,23
NYG,1,2,41,34
TB,0,2,34,41
CAR,1,2,35,27
NO,0,2,27,35
NE,1,2,18,20
ARI,0,2,20,18
IND,1,2,23,20
MIN,0,2,20,23
PHI,1,2,24,23
BAL,0,2,23,24
BUF,1,2,35,17
KC,0,2,17,35
CIN,1,2,34,27
CLE,0,2,27,34
JAC,1,2,7,27
HOU,0,2,27,7
SEA,1,2,27,7
DAL,0,2,7,27
STL,1,2,31,28
WAS,0,2,28,31
PIT,1,2,27,10
NYJ,0,2,10,27
SD,1,2,38,10
TEN,0,2,10,38
MIA,1,2,35,13
OAK,0,2,13,35
SF,1,2,27,19
DET,0,2,19,27
ATL,1,2,27,21
DEN,0,2,21,27
CAR,1,3,7,36
NYG,0,3,36,7
DAL,1,3,16,10
TB,0,3,10,16
CHI,1,3,23,6
STL,0,3,6,23
MIN,1,3,24,13
SF,0,3,13,24
TEN,1,3,44,41
DET,0,3,41,44
WAS,1,3,31,38
CIN,0,3,38,31
NO,1,3,24,27
KC,0,3,27,24
MIA,1,3,20,23
NYJ,0,3,23,20
CLE,1,3,14,24
BUF,0,3,24,14
IND,1,3,17,22
JAC,0,3,22,17
ARI,1,3,27,6
PHI,0,3,6,27
SD,1,3,3,27
ATL,0,3,27,3
DEN,1,3,25,31
HOU,0,3,31,25
OAK,1,3,34,31
PIT,0,3,31,34
BAL,1,3,31,30
NE,0,3,30,31
SEA,1,3,14,12
GB,0,3,12,14
BAL,1,4,23,16
CLE,0,4,16,23
BUF,1,4,28,52
NE,0,4,52,28
HOU,1,4,38,14
TEN,0,4,14,38
KC,1,4,20,37
SD,0,4,37,20
DET,1,4,13,20
MIN,0,4,20,13
ATL,1,4,30,28
CAR,0,4,28,30
STL,1,4,19,13
SEA,0,4,13,19
NYJ,1,4,0,34
SF,0,4,34,0
ARI,1,4,24,21
MIA,0,4,21,24
DEN,1,4,37,6
OAK,0,4,6,37
JAC,1,4,10,27
CIN,0,4,27,10
GB,1,4,28,27
NO,0,4,27,28
TB,1,4,22,24
WAS,0,4,24,22
PHI,1,4,19,17
NYG,0,4,17,19
DAL,1,4,18,34
CHI,0,4,34,18
STL,1,5,17,3
ARI,0,5,3,17
WAS,1,5,17,24
ATL,0,5,24,17
PIT,1,5,16,14
PHI,0,5,14,16
IND,1,5,30,27
GB,0,5,27,30
NYG,1,5,41,27
CLE,0,5,27,41
MIN,1,5,30,7
TEN,0,5,7,30
CIN,1,5,13,17
MIA,0,5,17,13
KC,1,5,6,9
BAL,0,5,9,6
CAR,1,5,12,16
SEA,0,5,16,12
JAC,1,5,3,41
CHI,0,5,41,3
NE,1,5,31,21
DEN,0,5,21,31
SF,1,5,45,3
BUF,0,5,3,45
NO,1,5,31,24
SD,0,5,24,31
NYJ,1,5,17,23
HOU,0,5,23,17
TEN,1,6,26,23
PIT,0,6,23,26
ATL,1,6,23,20
OAK,0,6,20,23
TB,1,6,38,10
KC,0,6,10,38
NYJ,1,6,35,9
IND,0,6,9,35
CLE,1,6,34,24
CIN,0,6,24,34
PHI,1,6,23,26
DET,0,6,26,23
MIA,1,6,17,14
STL,0,6,14,17
BAL,1,6,31,29
DAL,0,6,29,31
ARI,1,6,16,19
BUF,0,6,19,16
SEA,1,6,24,23
NE,0,6,23,24
SF,1,6,3,26
NYG,0,6,26,3
WAS,1,6,38,26
MIN,0,6,26,38
HOU,1,6,24,42
GB,0,6,42,24
SD,1,6,24,35
DEN,0,6,35,24
SF,1,7,13,6
SEA,0,7,6,13
NYG,1,7,27,23
WAS,0,7,23,27
MIN,1,7,21,14
ARI,0,7,14,21
CAR,1,7,14,19
DAL,0,7,19,14
TB,1,7,28,35
NO,0,7,35,28
STL,1,7,20,30
GB,0,7,30,20
HOU,1,7,43,13
BAL,0,7,13,43
IND,1,7,17,13
CLE,0,7,13,17
BUF,1,7,34,35
TEN,0,7,35,34
NE,1,7,29,26
NYJ,0,7,26,29
OAK,1,7,26,23
JAC,0,7,23,26
CIN,1,7,17,24
PIT,0,7,24,17
CHI,1,7,13,7
DET,0,7,7,13
MIN,1,8,17,36
TB,0,8,36,17
