team,ishome,week,pts,ptsallowed
GB,1,8,24,15
JAC,0,8,15,24
NYJ,1,8,9,30
MIA,0,8,30,9
CLE,1,8,7,6
SD,0,8,6,7
TEN,1,8,13,19
IND,0,8,19,13
STL,1,8,7,45
NE,0,8,45,7
PHI,1,8,17,30
ATL,0,8,30,17
CHI,1,8,23,22
CAR,0,8,22,23
DET,1,8,28,24
SEA,0,8,24,28
PIT,1,8,27,12
WAS,0,8,12,27
KC,1,8,16,26
OAK,0,8,26,16
DAL,1,8,24,29
NYG,0,8,29,24
DEN,1,8,34,14
NO,0,8,14,34
ARI,1,8,3,24
SF,0,8,24,3
SD,1,9,31,13
KC,0,9,13,31
WAS,1,9,13,21
CAR,0,9,21,13
GB,1,9,31,17
ARI,0,9,17,31
JAC,1,9,14,31
DET,0,9,31,14
TEN,1,9,20,51
CHI,0,9,51,20
CIN,1,9,23,31
DEN,0,9,31,23
CLE,1,9,15,25
BAL,0,9,25,15
HOU,1,9,21,9
BUF,0,9,9,21
IND,1,9,23,20
MIA,0,9,20,23
SEA,1,9,30,20
MIN,0,9,20,30
OAK,1,9,32,42
TB,0,9,42,32
NYG,1,9,20,24
PIT,0,9,24,20
ATL,1,9,19,13
DAL,0,9,13,19
NO,1,9,28,13
PHI,0,9,13,28
JAC,1,10,10,27
IND,0,10,27,10
CAR,1,10,14,36
DEN,0,10,36,14
TB,1,10,34,24
SD,0,10,24,34
MIA,1,10,3,37
TEN,0,10,37,3
NE,1,10,37,31
BUF,0,10,31,37
BAL,1,10,55,20
OAK,0,10,20,55
CIN,1,10,31,13
NYG,0,10,13,31
NO,1,10,31,27
ATL,0,10,27,31
MIN,1,10,34,24
DET,0,10,24,34
SEA,1,10,28,7
NYJ,0,10,7,28
PHI,1,10,23,38
DAL,0,10,38,23
SF,1,10,24,24
STL,0,10,24,24
CHI,1,10,6,13
HOU,0,10,13,6
PIT,1,10,16,13
KC,0,10,13,16
BUF,1,11,19,14
MIA,0,11,14,19
WAS,1,11,31,6
PHI,0,11,6,31
DET,1,11,20,24
GB,0,11,24,20
ATL,1,11,23,19
ARI,0,11,19,23
CAR,1,11,21,27
TB,0,11,27,21
DAL,1,11,23,20
CLE,0,11,20,23
STL,1,11,13,27
NYJ,0,11,27,13
NE,1,11,59,24
IND,0,11,24,59
HOU,1,11,43,37
JAC,0,11,37,43
KC,1,11,6,28
CIN,0,11,28,6
OAK,1,11,17,38
NO,0,11,38,17
DEN,1,11,30,23
SD,0,11,23,30
PIT,1,11,10,13
BAL,0,11,13,10
SF,1,11,32,7
CHI,0,11,7,32
DET,1,12,31,34
HOU,0,12,34,31
DAL,1,12,31,38
WAS,0,12,38,31
NYJ,1,12,19,49
NE,0,12,49,19
CIN,1,12,34,10
OAK,0,12,10,34
CLE,1,12,20,14
PIT,0,12,14,20
IND,1,12,20,13
BUF,0,12,13,20
JAC,1,12,24,19
TEN,0,12,19,24
KC,1,12,9,17
DEN,0,12,17,9
CHI,1,12,28,10
MIN,0,12,10,28
TB,1,12,23,24
ATL,0,12,24,23
MIA,1,12,24,21
SEA,0,12,21,24
SD,1,12,13,16
BAL,0,12,16,13
NO,1,12,21,31
SF,0,12,31,21
ARI,1,12,17,31
STL,0,12,31,17
NYG,1,12,38,10
GB,0,12,10,38
PHI,1,12,22,30
CAR,0,12,30,22
ATL,1,13,23,13
NO,0,13,13,23
CHI,1,13,17,23
SEA,0,13,23,17
GB,1,13,23,14
MIN,0,13,14,23
STL,1,13,16,13
SF,0,13,13,16
NYJ,1,13,7,6
ARI,0,13,6,7
KC,1,13,27,21
CAR,0,13,21,27
DET,1,13,33,35
IND,0,13,35,33
BUF,1,13,34,18
JAC,0,13,18,34
MIA,1,13,16,23
NE,0,13,23,16
TEN,1,13,10,24
HOU,0,13,24,10
DEN,1,13,31,23
TB,0,13,23,31
BAL,1,13,20,23
PIT,0,13,23,20
OAK,1,13,17,20
CLE,0,13,20,17
SD,1,13,13,20
CIN,0,13,20,13
DAL,1,13,38,33
PHI,0,13,33,38
WAS,1,13,17,16
NYG,0,13,16,17
OAK,1,14,13,26
DEN,0,14,26,13
WAS,1,14,31,28
BAL,0,14,28,31
CLE,1,14,30,7
KC,0,14,7,30
PIT,1,14,24,34
SD,0,14,34,24
IND,1,14,27,23
TEN,0,14,23,27
JAC,1,14,10,17
NYJ,0,14,17,10
MIN,1,14,21,14
CHI,0,14,14,21
CAR,1,14,30,20
ATL,0,14,20,30
TB,1,14,21,23
PHI,0,14,23,21
BUF,1,14,12,15
STL,0,14,15,12
CIN,1,14,19,20
DAL,0,14,20,19
SF,1,14,27,13
MIA,0,14,13,27
NYG,1,14,52,27
NO,0,14,27,52
SEA,1,14,58,0
ARI,0,14,0,58
GB,1,14,27,20
DET,0,14,20,27
NE,1,14,42,14
HOU,0,14,14,42
PHI,1,15,13,34
CIN,0,15,34,13
CHI,1,15,13,21
GB,0,15,21,13
ATL,1,15,34,0
NYG,0,15,0,34
NO,1,15,41,0
TB,0,15,0,41
STL,1,15,22,36
MIN,0,15,36,22
CLE,1,15,21,38
WAS,0,15,38,21
MIA,1,15,24,3
JAC,0,15,3,24
BAL,1,15,17,34
DEN,0,15,34,17
HOU,1,15,29,17
IND,0,15,17,29
ARI,1,15,38,10
DET,0,15,10,38
SD,1,15,7,31
CAR,0,15,31,7
BUF,1,15,17,50
SEA,0,15,50,17
DAL,1,15,27,24
PIT,0,15,24,27
OAK,1,15,15,0
KC,0,15,0,15
NE,1,15,34,41
SF,0,15,41,34
TEN,1,15,14,10
NYJ,0,15,10,14
DET,1,16,18,31
ATL,0,16,31,18
GB,1,16,55,7
TEN,0,16,7,55
CAR,1,16,17,6
OAK,0,16,6,17
MIA,1,16,24,10
BUF,0,16,10,24
PIT,1,16,10,13
CIN,0,16,13,10
JAC,1,16,16,23
NE,0,16,23,16
KC,1,16,13,20
IND,0,16,20,13
DAL,1,16,31,34
NO,0,16,34,31
PHI,1,16,20,27
WAS,0,16,27,20
TB,1,16,13,28
STL,0,16,28,13
BAL,1,16,33,14
NYG,0,16,14,33
HOU,1,16,6,23
MIN,0,16,23,6
DEN,1,16,34,12
CLE,0,16,12,34
ARI,1,16,13,28
CHI,0,16,28,13
SEA,1,16,42,13
SF,0,16,13,42
NYJ,1,16,17,27
SD,0,16,27,17
BUF,1,17,28,9
NYJ,0,17,9,28
NE,1,17,28,0
MIA,0,17,0,28
CIN,1,17,23,17
BAL,0,17,17,23
PIT,1,17,24,10
CLE,0,17,10,24
IND,1,17,28,16
HOU,0,17,16,28
TEN,1,17,38,20
JAC,0,17,20,38
NYG,1,17,42,7
PHI,0,17,7,42
WAS,1,17,28,18
DAL,0,17,18,28
DET,1,17,24,26
CHI,0,17,26,24
MIN,1,17,37,34
GB,0,17,34,37
ATL,1,17,17,22
TB,0,17,22,17
NO,1,17,38,44
CAR,0,17,44,38
DEN,1,17,38,3
KC,0,17,3,38
SD,1,17,24,21
OAK,0,17,21,24
SF,1,17,27,13
ARI,0,17,13,27
SEA,1,17,20,13
STL,0,17,13,20
